content,sentiment
aplikasi ini bermanfaat supaya bisa melihat lokasi driver online tsb,1
mahal kalah bersaing selamat tinggal grab terima kasih sudah menemani selama bertahun tahun,-1
aplikasi anjing gua udh di paketin tpi gk nemu driver tpi promo di ambil anjing aplikasi gk guna,-1
sistem aplikasi lemot  keluar sendiri ,-1
saya baru instal ulang apk nya tapi pas diminta akses lokasi ko gabisa yamalah ngulang terus minta akses lokasi  tolong dong ini lagi gangguan apa begimana,-1
best of the best choice,1
suka tidak ada pengemudi padahal pengemudi banyak aplikasi aneh,-1
grab makin jelek pesan pst drivernya jauh bgt dri titik    tdk kyk dulu lagi   dlu tiap memesan drivernnya pst tdk jauh dri titik skrg memesan driver malah dekat sm titik ke    grab tak seindah dulu   ,-1
mengantar lebih cepat dan penjemputannya akurat terima kasih grab,1
jelek banget jangan download ini tipuan,-1
harus di tingkatkan kembali system nya,-1
lagi butuh ojol download grab biar gampang tp udh lupa akun sekalinya daftar akun baru yg muncul cuma tulisan eroor trs gimana sih,-1
aplikasinya jelek pas mau kasih bintang ke drivernya malah jadinya bintang mana gk bisa diubah lagi,-1
gak bisa log in     trus buat apa di download kalo gak bisa dipakai,-1
mahal amat tarif ya   harganya xlipat dri aplikasi gojek,-1
dengan grab food jd gampang   malam ini hujan ngak berhenti untung saja ada grab food   tq bang grab ,1
ya allah aplikasinya baguss banget,1
lumayan membantulah saat butuh order makanan,1
kadang suka error but overall sangat membantu,1
aplikasi kontol padaahal sayaa pengguna samsung note gabisa buat daftar grab kontoll,-1
aplikasinya kalo cari lokasi kembalik ke branda awal,1
saya amat kecewa dengan pelayanan grab ,-1
daptar y ribet banget ga bisa,-1
saya update kok malahan dapat note begini tidak dapat meng instal grab udah x   sangat buruk,-1
aplikasinya gk bsa d downloaddh tga kali sya coba gak bsa,-1
memudahkan dalam segala hal,1
gak ribet dan murah banyak diskon,1
keren tp terlalu sering minta update,1
saya kurang paham su tidak melakukan hal yg anih karna grab adalah kebyuhan   yl knp akun saya di tangguhkan,-1
keren bnget deh aplikasi ini    ,1
selalu mendapat pengemudi yang jauh dari destinasi,-1
aplikasi tiap dibuka ketutup sendiri puluhan kali nyoba baru bisa kalo kerja make grab harus mesen setengah jam sebelum berangkat karna aplikasinya kocak   kalo mau makan harus mesen sejam sebelum laper   bukannya mempermudah urusan orang malah mempersulit   ,-1
boleeeh,1
bagi drever madura kenapa gak ada yang mau ambil arah kali anak mohon bagi admin grab di perhatikan konsumenya,-1
kenapa gak bisa di bukaaplikasi nya   ,1
sangat membantu banget si grab ini majus terus datuk     y,1
mantap aplikasi nya bisa beli tanpa jalan,1
aplikasi sangat membantu    mantapppp,1
sering hang dan lag ,-1
hari ini januari saya cobapesen grab dari tlogosari ke tembalang dengan biaya rp   kalau pakek ovo dan rp   kalau tunai sayang nya ovo saya di bawah rp    akhirnya saya gak jadi pesen ngisi ovo dulu rp    eh begitu di isi mau pesen lg dari tujuan yg sama dan lokasi jemput yg sama malah jadi rp k pakek ovo sedangkan tunai k  ngrasa kecewa bgt sih ,-1
gk di update gk bisa di gunakan gimana sich grab ni di instal balik udah   malah gk bisa di pasang jelek aplikasi nya,-1
sangat membantu dan pelayanannya bagus recomended,1
mengecewakan  ada potongan disc tpi saat d pakai malah gak bisa  alias batas penukaran habis padahal sama sekali belom d pakek   makin gak jelas aja nih grab bikin kecewa padahal udh lebih dr setahun pakek grab,-1
aplikasinya mantap sangat membantu dan mempermudah,1
klo driver nya kerja nya bagus br bintang  ,-1
sellu baik dan saling menghargai,1
baru kali ini mesan delivery food lama pakai banget padahal itu minuman loh es bisa mencair dan udah ga enak lagi saat di minum ku paham memang ada aplikasi searah tapi pentingin konsumen juga yang nunggu lama cuman kepingin minum tolong aplikasinya buat yang delivery di perbaiki lagii kalau bisa kurir yang terima minuman semua jangan juga yang searahan sampai jaaauuhhhh ini lah sebabnya bikin rating kurir jelek   ,-1
gmna sih udah donlod udah daftar   ga bisa di buka,-1
yeayy,1
mantap sekarang poin bisa diubah jadi promo   cma kalo penjemputan dan tujuan udah dibuat mobilnya jdi ga keliatan    dah lumayan lah,1
tolong donk driver nya jangan kebanyakan kode dengan nabrak  atau rem  mendadak klu ada macet krn merasa rugi waktu ga bisa cepet dan di byr sesuai argo  utk dpt tips atau minta tips tdk gitu juga cara nya  macet atau ga macet dan dpt tips atau tdk ya itu resiko dri pekerjaan jgn sllu mengharapkan tips krn org naik grab itu utk lebih hemat  jika ada lbh uang pasti di ksh tips ,-1
makin sini makin pelit aja promo nya   mau bangkrut  ,-1
kl naik grab praktis mau kmn jg,1
baru keupdate hari ini malah kurang fitur isi pulsa  ,-1
gabisa diupgrade udah ampe apus aplikasi banyak  udh mau persen eh gagal begitu trs ampe berkali,-1
lebih di tingkat kan lg goegle maps nya spy sesuai dngn alamat yg di cari  dan mempermudah driver tuk penjemputan nya  trima kasih,1
susah ah nginstal gtab     males,-1
aplikasi koyok taekkkk   gabisa login padahal udah masukkin nomer   dan saya kehilangan uang ribu gara tidak bisa login,-1
saya merasa k bantu dengan ada ny grab  klw bisa promo grabcar banyakin apa lagi sekrng musim hujanskrng pke ovo juga knp mahal yahjd pindah k angkot z dulu ank sekolah g sanggup jarak dkt biasany rb skrng rb,1
manteb bingitzwzezs,1
mas miswan menyenangkan sukaaaaaa,1
saya tidak suka aplikasi ini karena terlalu over dibagian promojangan ditambahin ruginya tolong,-1
banyak promonya uhuy,1
udahh dr reds,-1
faiaaaaj,1
suiiippppp,1
iy in,-1
kalo abis order grab biketerus dilanjut grabnow knp ga bisa ya   jadi harus nunggu driver lain lagi  jadi lama ,1
saya sarankan kepada driver selalu mengingatkan kepada penumpangnya agar memberi bintang   karena terkadang penumpangnya tidak tau   lupa untuk pentingnya memberi bintang  ,1
masa barusan download dibilang akun ku melakukan sesuatu  hal driver  padahal nggak dan saya bukan driver,-1
mau d donlot kampang,1
eror aplikasi bos,1
kalau ada bintang minus saya kasih minus bintang  stelah update log in ulang pake nmr hp atau facebook  diulang ulang terus proses loginnya ,-1
pernah naik grab seperti tanding di arena balap tolong beri arahan buat drivernya bawa nyawa orang       di bilangin eee drivernya diam aja  ,1
diskon paket hemat mobil di besarkan dong,1
sering banget pesen grabfood selalu harganya salah dan kena penyesuaian   masa iya sekian lama dan sekian banyak orang yg pesen harganya ga di update juga  aneh banget  pengguna harus lebih hati karna tau ovo nya dipotong melebihi harga pas pemesanan karna penyesuaian,-1
aplikasinya mendukumg,1
mending pke gojek  orangnya ramah  ,1
setelah di update nggabisa masukin promonya  ngga ada tulisanya  padahal lagi banyak promo,-1
ko aplikasi nya gabisa dibuka ya dari sebelum update sampe udah di update masih aja gabisa buka grab suka kesel kadang apa harus uninstall dulu,-1
too much update,-1
tutup aja drpd gajelas  tiba suspend akun sembarangan ,-1
sekarang kok tambah ribet sich greg ya,-1
hidup itu yang penting ramah dengan siapa pun  ,1
voucer awal  doang bagus  skrg  voucher nya sk berlaku yelah syarat pula yg non tunai kasian org yg cmn bisa byr cash lah,-1
tolong diperbaiki saya tidak tau daerah sini maka dari itu saya pakai grab   tapi di tengah jalan saya malah di suruh turun oleh driver dengan alasan hp error dan tidak tau jalan jika posisi siang hari mungkin tidak apa apa   tapi ini di malam hari  saya bingung harus pakai apa pada malam hari sedangkan saya tidak tau daerah sini,1
sukses n lancar,-1
tetap waktu dan tertib di jalan,1
aman dan yaman pakek nya,1
knpa hp saya gak bisa download,-1
gajelas lama lama aplikasi untuk pembayaran tunai nya nih eror mulu,-1
mantap  ok lah pokok nya ,1
jlk di grab itu gk ada konfrimasi klo toko nya tuh tutup jadi ksian tkng grab nya,-1
sangat membatu   g repot lg klo mau kmna,1
ok banget dah pokoknya ,1
arigatou,1
jangan dibikin ribet klo ada yg mudah,1
terimakasih grab   atas layanannya yg byk membantu kami seklg   minal aidzin wal faizin      tingkatakan terus layanannya   n harganya jg yg terjangkau bagi kalangan masyarakat bawah   terimakasihhh   ,1
ok lh buat gw mah,1
saya kasih bintang supaya pelayanannya terus ditingkatkan dan bugnya untuk segera diperbaiki thanks     ,1
mempermudah semua urusan dan nyaman,1
grab udah gk bs di percaya,-1
tidak ada kendaraan    grab aja tidak ada supir     grab aja,1
gabisa login aneh,-1
klo disuspen karena login lewat perangakat lain terus gk bisa make lagi ,-1
cepat respon nya dan mudah,1
buat tman  hrap d maklumi klw ad driver yg ngak pke atrubut lengkap it smua buat keamanan dia supaya dia ngak d pukul atw d tegur oleh ojek pangkalan,1
capek sering bngt update mana memory penuh    padahal lancar  aja gda masalah hmmmm,-1
sangat membantu kebutuhan transportasi kreluarga kami,1
susah banget klo dwonload aplikasinya ,-1
apaan ini baru saja daftar grab eh di blokir suruh pilih alasan sering batalkan pesanan atau apalah itu wkwk kocak tambah gk jelas punya aplikasinya ajaa gk pernah gue baru download kapannpesanya ketentuan gk jelas nih aplikasi auto uninstall biar gk pernah tau sekalian gue apa isi aplikasi grab,-1
driver sejahtera,1
pengen bintang kasih aku gf yummi seminggu sekali  baru aku kasih bintang     bisa nya cuma updaaaateee terusss ,-1
cepat banget   top bgt,1
susah log in nih grab,-1
akun di bekukan sdh ajukan banding ngak bisa padahal ngk ngapain auto hapus dri hp ni aplikasi,-1
lumayan dikit bagus,-1
sering promo setiap saat   dan cashback mantul,1
aq seneng banget pakai aplikasinya cuma aq kdng masih sering dapat drever gak bertanggung jawab ,1
mempermudagak ribetmurah dan sangat membatugak perlu ribet  cari parkiranbisa sampai tujuan dgan tepat waktu,1
sangat puas pakai aplikasi grab  ,1
akun di tangguhkn terus gmn yah ,-1
coba ada gratis ongkir pasti deh laku,-1
suspend aja semua akun biar lama pelanggan kalian kabur  udh promo sering gk bisa dpake skrg maen blok lagi kayak cwek ae lu dikit blok  dlu gw rajin isi saldo dn pake applikasi lu gw gk pernah macem  malah diginiin  gojek la lebih fleksibel ,-1
saya jarang pakai kenapa akun saya ditangguhkan ,-1
driver nya ramah ramah jempol lah,1
sangat membantu kalau pergi kemana jadi gampang trus gak takut kalau pulang malam ,1
harga nya mantappp,1
mancapppppp,1
saldo sy berkurang padahal pengemudi mau menjemput sy sesuai lokasi alamat tujuan tiba grabbike membatalkan dg alasan jauh la    macet la   padahal hampir setengah jam sy menunggu pengemudi tersebut  terus bagaimana saldo sy bisa kembali  tolong ditindak lanjuti grab biar g berdampak pemesan berikutnya,1
sekarang ko pengemudinya pada mau sendiri ya kita udh nunggu lamalama terus pengemudinya kelewat yg sesuai titik malah minta cancel sedangkan saya menunggu sudah terlalu lama,-1
buka aplikasinya loadingnya lama bingit,-1
aplikasi jelek dan ribet,-1
aku senang sekali,1
masih ngebug ride menu car kapan diupdate ,-1
selamat sorekamo dari pedagangsudah regis grab food sudah sesuai prosedur dikantor magelang kok belum masuk ya setiap minggu sekali saya follow up lg dikantor grab magelangkok katanya ngantri ,-1
mau kemana    pakai grabe aja,1
saya driver baru dari bulan mei mau tanya berapa jumlah potongan yg sebenar nya buat atributsaya cuma dapat jaket tanpa helm  dan potongan saya udah mencapai rb dan yg saya liat di google potongan yg asli nya cuma sampe rb itu buat helm sama jaket ,1
promonya jgn cm pake ovo donk grab mulai pelit skrg yaa,1
oke joss,1
mau beli apa aja jadi mudah  yg jelas kalo pas promonya banyak itu lumayan banget bisa borong makanan  ,1
goblogg      ga ada cnfirm kode k hp saya gmna mau login    grab gobloggggggg,-1
mw regis aj ssah stngah mati,-1
sering yaa disc  grabfood nyaa,1
semoga lancar grab,1
klo ga di update dpt driver jauh jauh,-1
aplikasi grab ini membantu banget buat saya yang ibu rumah tangga repot gak bisa keluar rumah kalo mau cari makan atau berpergian tapi gak ada kendaraan terimakasih grab   ,1
angel angel,-1
knpa sih hrus diupdate tros memori guw pnuhh,-1
sya kecewa dengan aplikasi grab seyiap sya pesan pasti di cancel sma pegemudinyayidak jelas alasnaya apa bukan membantu malah perepotkan,-1
